Book Name,Transcription
Summary,your life goal can be transformed into a two-minute behavior for example I want to live a healthy and long life becomes I need to stay in shape which translates to I need exercise which breaks down to I need to change my workout clothes or I want to have a happy marriage becomes I need to be a good partner which translates to I should do something each day to make my partner's life easier which leads to I should meal plan for next week whenever you're struggling to stick with a habit you can employ the two-minute rule it is a simple way to make your habits easy chapter summary habits can be completed in a few seconds but continue to impact your behavior for minutes or hours afterward
”Good intentions”,Amazon enjoyable but the ultimate outcome feels good the French Economist Frederic bastiat explain the problem clearly when he wrote it almost always happens that when the immediate consequences favorable the later consequences are disastrous and vice-versa often the sweeter the first fruit of a habit the more bitter are it's later fruits put another way the cost of your good habits are in the present the cost of your bad habits are in the future the brain's tendency to prioritize the present moment means you can't rely on Good Intentions when you make a plan to lose weight write a book or learn a language you are actually making plans for your future self and when you envision what you were
clip27,is overtime and here's some examples of negative compounding stress compounds the frustration of a traffic jam the way to Parenting responsibilities the worry of making ends meet the strain of slightly high blood pressure by themselves these common causes of stress are manageable but when they persist for years little stresses compound into serious health issues negative thoughts compound the more you think of yourself as worthless or stupid or ugly the more you condition yourself to interpret life that way you get trapped in a thought Loop the same is true for how you think about others once you fall into the habit of seeing
clip31,of course not goals are good for setting a Direction but systems are best for making progress a handful of problems arise when you spend too much time thinking about your goals and not enough time designing your systems let me go over a few of them problem number 1 winners and losers have the same goals goal-setting suffers from a serious case of survivorship bias we concentrate on the people who end up winning the survivors and mistakenly assumed that ambitious goals led to their success while overlooking all of the people who had the same objective but didn't succeed every Olympian wants to win a gold medal every candidate wants to get the job
clip89,Night a book will be sitting there waiting for you to enjoy overall have a stacking allows you to create a simple set of rules the guide your future Behavior it's like you always have a game plan for which action should come next and once you get comfortable with this approach you can develop General having sex to guide you whenever the situation is appropriate so for example exercise when I see a set of stairs I will take them instead of using the elevator or social skills when I walk into a party I will introduce myself to someone I don't know yet finances when I want to buy something over $100 I will wait at least twenty-four hours before purchasing it healthy eating when I serve myself a meal
Resetting the room,easy as possible much of the battle of building better habits comes down to finding ways to reduce the friction associated with are good habits and increase the friction associated with our bad ones Prime the environment for future use Oswald Knuckles is an IT developer from Natchez Mississippi he is also someone who understands the power of priming his environment Knuckles dialed in his cleaning Habits by following a simple strategy he referred to as resetting the room for instance when he finishes watching television he places the remote back on the TV stand arranges the pillows on the couch and pulls the blanket when he leaves his car he throws any Trash Away whenever you
Aggregation,years no British cyclist ever won the event in fact the performance of British writers had been so underwhelming that one of the top bike manufacturers in Europe refused to sell bikes to the team because they were afraid that it would hurt sales of other professionals saw the Brits using their gear brailsford had been hired to put British cycling on a new trajectory would made him different from previous coaches was his Relentless commitment to a strategy that he referred to as the aggregation of marginal gains which was the philosophy of searching for a tiny margin of improvement in everything you do releford said the whole principle came from the idea that if you broke down every
Template,take a shower brush your teeth get dressed for a cup of coffee eat breakfast take the kids to school and so on your list can be much longer but you get the idea in the second column write down all of the things that happen to you each day without fail for example the sunrises or you get a text message the song your listening to enzor the sunsets once you're armed with these two lists you can begin searching for the best place to Lair a new habit into your lifestyle you're looking for more examples and guidance on this you can download a habit stacking template at Atomic habits.com habit stacking alright so habit
"All habits break down, have a plan",so for example after I hang up the phone from a sales call I will move one paperclip over after I finish each set at the gym I will recorded in my workout Journal after I put my plate in the dishwasher I will write down what I ate these tactics can make tracking your habits easier even if you aren't the type of person who enjoys recording her behavior I think you'll find a few weeks of measurements to be insightful it's always interesting to see how you've actually been spending your time that's said every habits weekends at some point and more important than any single measurement is having a good plan for when your habit slide off track how to recover quickly when
Delayed return env,you live and what scientists call an immediate return environment because your actions instantly deliver clear and immediate outcomes now switch back to your human self in modern society many the choices you make today will not benefit you immediately if you do a good job at work you'll get a paycheck in a few weeks if you exercise today perhaps you won't be overweight next year if you save money now maybe you'll have enough for retirement decades from now you live in what scientists call it delayed return environment because you can work for years before your actions deliver the intend to pay off the human brain did not evolve for life in Adelaide return environment the earliest remains of my
Add some pleasure and pain,you'll generally learn more and get better grades if you don't buy desserts and chips at the store you often eat healthier food when you get home at some point success in nearly every field requires you to ignore the immediate reward in favor of Adelaide reward here's the problem most people know that delaying gratification is the wise approach they want the benefits of good habits to be healthy productive and at peace but these outcomes are selling top of mine at the decisive moment thankfully it's possible to train yourself to delay gratification but you need to work with the granite human nature not against it the best way to do this is to add a little bit of immediate pleasure to The Habit
